,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
D-206838,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,40,0,12.3,7.4,7.9,4.7,48,22,70,4,1,2,3,4,2,1,2
D-206839,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,42,39,3,13.3,7.9,9,5.8,48.3,25.5,NA,4,1,3,3,4,3,1,3
D206844,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
D206845,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,41,39,2,13.1,8.3,10,5.1,51.8,25,50,4,2,3,3,4,3,3,3
D206846,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,41,37,4,13.4,8.3,8.8,5.3,54.3,25.7,NA,4,1,3,3,4,3,1,2
D-209701,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,39,38,1,13.5,9.6,10,NA,49.5,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-209702,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,38,2,15.9,8.1,9.7,5.4,48.5,25.7,NA,4,2,3,3,4,2,2,2
D-209703,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,34,6,17.2,8.7,11.1,NA,48.6,23.2,60,4,2,2,3,4,3,3,2
D-209704,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,48,47,1,14.9,8.1,10.2,NA,53.4,23.5,50,3,2,3,3,4,3,3,2
D-209705,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,41,36,5,15.6,8.4,10.2,NA,45.1,23.9,NA,4,2,4,3,4,2,3,2
D-209706,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,118,40,35,5,14.6,8.9,9.6,NA,52.9,23.5,NA,4,3,3,4,4,2,3,3
